complaint_id,category,department,priority,district,urban,submission_date,day_of_week,officer_experience,workload_at_submission,complaint_length,resubmission,sla_threshold_days,resolution_days,sla_violated,escalated,status,risk_score
KL2022-00001,Education,Education Department,Medium,Thiruvananthapuram,1,2023-07-18,1,8,33,192,1,10,9,0,0,Resolved,46
KL2022-00002,Education,Education Department,Low,Kozhikode,1,2022-06-28,1,19,59,82,0,15,13,0,0,Resolved,32
KL2022-00003,Housing,Housing Board,Medium,Kollam,0,2023-03-24,4,8,69,666,0,10,17,1,0,Resolved,64
KL2022-00004,Sanitation,Municipality,Low,Wayanad,1,2024-05-09,3,8,62,653,0,15,16,1,0,Resolved,43
KL2022-00005,Housing,Housing Board,Medium,Kannur,1,2022-11-23,2,14,48,334,0,10,12,1,0,Resolved,48
KL2022-00006,Public Works,PWD,Medium,Kollam,1,2022-07-09,5,13,17,417,0,10,11,1,1,Closed,42
KL2022-00007,Revenue,Revenue Department,Low,Kannur,1,2022-03-30,2,15,73,177,0,15,19,1,1,Closed,49
KL2022-00008,Social Security,Social Welfare,Low,Kollam,1,2023-08-24,3,20,51,641,0,15,11,0,0,Resolved,31
KL2022-00009,Sanitation,Municipality,Critical,Wayanad,0,2022-05-23,0,2,34,346,1,2,4,1,1,Closed,58
KL2022-00010,Sanitation,Municipality,Medium,Kasaragod,1,2022-07-26,1,13,40,514,0,10,7,0,0,Resolved,29
KL2022-00011,Public Works,PWD,Low,Pathanamthitta,0,2024-01-29,0,12,31,736,1,15,19,1,0,Resolved,58
KL2022-00012,Education,Education Department,Medium,Malappuram,0,2022-12-17,5,18,36,217,0,10,10,0,0,Resolved,25
KL2022-00013,Water Supply,Kerala Water Authority,Critical,Ernakulam,1,2023-07-07,4,18,33,751,0,2,1,0,0,Resolved,28
KL2022-00014,Public Works,PWD,Critical,Kasaragod,0,2022-04-25,0,8,9,373,0,2,4,1,1,Closed,53
KL2022-00015,Education,Education Department,Low,Alappuzha,0,2023-10-07,5,7,68,455,0,15,23,1,1,Closed,50
KL2022-00016,Water Supply,Kerala Water Authority,Medium,Pathanamthitta,1,2023-06-27,1,5,36,624,0,10,9,0,0,Resolved,37
KL2022-00017,Revenue,Revenue Department,Low,Wayanad,0,2024-05-27,0,19,56,420,1,15,17,1,0,Resolved,48
KL2022-00018,Healthcare,Health Department,High,Palakkad,0,2024-10-07,0,3,11,162,0,5,6,1,0,Resolved,32
KL2022-00019,Healthcare,Health Department,Medium,Kannur,1,2024-05-14,1,20,13,444,0,10,1,0,0,Resolved,8
KL2022-00020,Social Security,Social Welfare,Low,Malappuram,0,2024-08-16,4,17,37,616,0,15,15,0,0,Resolved,30
KL2022-00021,Housing,Housing Board,High,Kozhikode,1,2022-08-23,1,18,39,706,0,5,3,0,0,Resolved,43
KL2022-00022,Public Works,PWD,High,Kollam,1,2023-08-25,4,14,25,514,0,5,5,0,0,Resolved,46
KL2022-00023,Housing,Housing Board,High,Wayanad,1,2023-06-24,5,17,27,569,0,5,5,0,0,Resolved,40
KL2022-00024,Education,Education Department,Low,Kasaragod,1,2023-09-04,0,17,30,206,0,15,11,0,0,Resolved,24
KL2022-00025,Public Works,PWD,Medium,Kannur,1,2022-11-27,6,18,72,50,0,10,14,1,1,Closed,56
KL2022-00026,Water Supply,Kerala Water Authority,High,Thiruvananthapuram,0,2022-08-18,3,12,44,295,0,5,1,0,0,Resolved,35
KL2022-00027,Housing,Housing Board,Low,Alappuzha,1,2022-06-11,5,3,67,120,0,15,34,1,1,Closed,69
KL2022-00028,Healthcare,Health Department,High,Pathanamthitta,0,2024-08-31,5,18,26,321,1,5,7,1,1,Closed,29
KL2022-00029,Social Security,Social Welfare,High,Alappuzha,1,2023-02-16,3,10,56,737,0,5,5,0,0,Resolved,49
KL2022-00030,Public Works,PWD,Low,Thrissur,0,2024-11-25,0,15,20,303,0,15,18,1,0,Resolved,40
KL2022-00031,Public Works,PWD,High,Thiruvananthapuram,0,2023-04-17,0,19,33,57,1,5,1,0,0,Resolved,53
KL2022-00032,Education,Education Department,Low,Wayanad,0,2022-05-01,6,8,13,82,0,15,15,0,0,Resolved,29
